,id,food_complexity,num_ingredients,serving_setting,expected_cost,related_movie,paired_drink,associated_people,hot_sauce_level,Label
23,492744,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,Teenage Mutant Ninja Turtles,soda,"Parents,Friends",A little (mild),Pizza
24,618747,2,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.333333333333334,Toy Story,7up,Friends,none,Pizza
25,607815,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",30.0,The Godfather,coke,"Friends,Teachers",A little (mild),Pizza
26,601609,4,10.0,"Weekend dinner,At a party",6.0,Spider-Man,diet coke,Friends,none,Pizza
27,602657,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,Licorice Pizza,cola,"Friends,Teachers",none,Pizza
28,616449,4,3.0,"Week day lunch,Week day dinner,Weekend dinner,At a party",5.0,Teenage Mutant Ninja Turtles,water,"Parents,Friends",A little (mild),Pizza
29,501893,4,5.0,"Weekend lunch,Weekend dinner,At a party",22.5,Fast & Furious,coke,"Siblings,Friends",none,Pizza
30,507448,3,5.0,"Weekend dinner,At a party,Late night snack",20.0,Teenage Mutant Ninja Turtles,coke,Friends,A little (mild),Pizza
31,606556,1,3.0,At a party,8.0,The Garfield Movie,cola,Teachers,A little (mild),Pizza
32,724326,3,11.0,"Week day lunch,Weekend lunch,At a party",2.0,Spider-Man: No Way Home,coca-cola,Friends,none,Pizza
33,616945,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,Ratatouille,cola,Teachers,A moderate amount (medium),Pizza
34,630962,4,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",10.0,Five Nights at Freddy's,cola,"Friends,Teachers",none,Pizza
35,715814,2,5.0,"Week day lunch,Week day dinner,At a party",7.425714285714286,teenage mutant ninja turtles,coca-cola,"Parents,Friends,Teachers",A little (mild),Pizza
36,502799,2,8.0,"Weekend dinner,At a party",10.0,Back to the Future,ice tea,"Parents,Siblings,Friends",none,Pizza
37,605278,2,4.0,"Weekend dinner,At a party,Late night snack",4.0,The Godfather,coke,"Friends,Teachers,Strangers",A little (mild),Pizza
38,388888,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Mystic Pizza,coke,Friends,A little (mild),Pizza
39,519548,3,5.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,Spider-Man 2,coke,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
40,405521,4,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,Futurama,coke,Friends,A moderate amount (medium),Pizza
41,607410,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",13.0,Iron Man,fanta,"Siblings,Teachers",none,Pizza
42,715795,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",13.0,Life of Pi,cola,"Parents,Friends,Teachers",none,Pizza
43,625326,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",3.0,Avengers: Doomsday,soda,"Siblings,Friends,Teachers",A little (mild),Pizza
44,627220,3,5.0,"Week day lunch,Weekend dinner,At a party,Late night snack",6.5,Despicable Me 4,mountain dew,Friends,A little (mild),Pizza
45,634964,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,Your Friendly Neighborhood Spider-Man,beer,"Parents,Friends",none,Pizza
46,722500,3,10.0,"Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,Home Alone,coke,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
47,602824,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,American Movie,soda,"Parents,Siblings,Friends",none,Pizza
48,618355,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,King Kong,coke,"Friends,Teachers,Strangers",none,Pizza
49,611097,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,Home Alone,coke,"Siblings,Friends",A little (mild),Pizza
50,634328,2,5.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Teenage Mutant Ninja Turtles,soda,"Parents,Siblings,Friends",none,Pizza
51,607160,2,10.0,At a party,9.0,Cloudy with a Chance of Meatballs,diet coke,Teachers,A little (mild),Pizza
52,728522,3,6.0,"Week day dinner,Weekend dinner,At a party,Late night snack",12.0,Marvel vs. DC: At the Movies,pepsi,"Siblings,Friends,Teachers",A lot (hot),Pizza
53,718570,3,5.0,"Week day lunch,Week day dinner,At a party",15.0,Marvel vs. DC: At the Movies,coke,"Friends,Strangers",none,Pizza
54,714598,4,5.0,"Week day dinner,At a party,Late night snack",4.5,The Garfield Movie,coca-cola,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
55,601950,3,4.0,"Week day lunch,At a party,Late night snack",3.0,The Garfield Movie,coke,Friends,none,Pizza
56,612478,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",7.0,Grown Ups,diet coke,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
57,501416,4,7.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",11.0,"There's A Lot of Bones In This, I Really Don't Wanna Die",soft drink,"Teachers,Strangers",A little (mild),Pizza
58,629710,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15.0,Deadpool & Wolverine,coke,"Parents,Siblings,Friends",A little (mild),Pizza
59,502610,2,3.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",35.0,Cloudy with a Chance of Meatballs,cola,"Parents,Siblings,Friends",none,Pizza
60,603476,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,Whiplash,coke,"Parents,Siblings,Friends",none,Pizza
61,600957,2,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,Home Alone,water,Siblings,none,Pizza
62,713423,5,15.0,"Week day dinner,Weekend dinner,At a party",15.0,Inside Out,coke,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
63,722431,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,At a party",16.666666666666668,Teenage Mutant Ninja Turtles,orange juice,Friends,none,Pizza
64,633234,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Avengers: Doomsday,coke,"Siblings,Friends,Teachers",none,Pizza
65,148179,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7.0,Avengers: Doomsday,cola,Friends,A little (mild),Pizza
66,715845,2,9.0,"Weekend dinner,At a party,Late night snack",20.0,Cloudy with a Chance of Meatballs,coke,Friends,none,Pizza
67,632153,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,Ratatouille,water,Friends,none,Pizza
68,606552,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",7.0,Superbad,cola,"Parents,Siblings,Friends",A little (mild),Pizza
69,738409,3,4.0,At a party,3.0,Stranger Things,pepsi,"Teachers,Strangers",none,Pizza
70,612096,4,6.0,"Weekend dinner,At a party",4.99,Ratatouille,sprite,"Parents,Friends,Teachers",A lot (hot),Pizza
71,743537,3,5.0,"Week day lunch,Week day dinner,At a party,Late night snack",15.0,Pizza,coke,"Friends,Strangers",none,Pizza
72,632896,3,10.0,"Weekend lunch,At a party,Late night snack",4.0,Home Alone,coke,"Siblings,Friends,Strangers",A little (mild),Pizza
73,605207,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",12.0,Teenage Mutant Ninja Turtles,coke,Friends,none,Pizza
74,617542,4,3.3333333333333335,"Week day dinner,Weekend dinner,At a party,Late night snack",13.5,Teenage Mutant Ninja Turtles,coke,Friends,A little (mild),Pizza
75,719554,3,3.0,"Week day lunch,Late night snack",5.0,Teenage Mutant Ninja Turtles,juice,"Friends,Strangers",none,Pizza
76,627427,4,4.0,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",5.0,Air Bud,soda,"Friends,Strangers",A little (mild),Pizza
77,411315,4,7.0,"Week day lunch,At a party,Late night snack",6.0,Deadpool & Wolverine,coke,"Friends,Strangers",A little (mild),Pizza
78,631507,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,A Quiet Place: Day One,soda,Friends,I will have some of this food item with my hot sauce,Pizza
79,627798,3,8.0,"Week day lunch,Weekend lunch,At a party,Late night snack",6.0,Finding Nemo,cola,Friends,A little (mild),Pizza
80,712093,4,10.0,"Week day lunch,Weekend lunch,At a party,Late night snack",15.0,Avengers: Endgame,cola,"Teachers,Strangers",A little (mild),Pizza
81,627488,1,10.0,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",5.0,Ratatouille,soda,"Friends,Teachers",A little (mild),Pizza
82,626493,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,My Cousin Vinny,water,"Parents,Siblings,Friends,Teachers",none,Pizza
83,601363,2,7.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,The Garfield Movie,ginger ale,"Siblings,Friends,Teachers",A moderate amount (medium),Pizza
84,712898,4,8.0,"Weekend dinner,At a party,Late night snack",5.0,The Garfield Movie,diet coke,Parents,none,Pizza
85,603398,3,10.0,"Weekend dinner,At a party,Late night snack",22.5,Eat Pray Love,coca-cola,Friends,A moderate amount (medium),Pizza
86,631012,4,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Ratatouille,coke,"Parents,Siblings,Friends",none,Pizza
87,601848,3,6.0,"Week day lunch,Weekend dinner,At a party,Late night snack",7.0,Ratatouille,coke,"Parents,Siblings,Friends,Teachers",none,Pizza
88,612131,2,5.0,"Week day dinner,Weekend dinner,At a party,Late night snack",2.0,Home Alone,coca-cola,"Parents,Siblings,Teachers",A little (mild),Pizza
89,408630,3,5.0,"Week day lunch,Weekend lunch,At a party,Late night snack",5.0,Five Nights at Freddy's,soda,"Siblings,Friends,Teachers",A little (mild),Pizza
90,632091,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,A Minecraft Movie,soda,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
91,601122,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,Home Alone,coke,"Parents,Siblings,Friends,Strangers",none,Pizza
92,602871,2,5.0,"Week day lunch,At a party",10.0,Spider-Man 2,coke,Friends,A little (mild),Pizza
93,520828,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Teenage Mutant Ninja Turtles,diet coke,"Siblings,Friends",A moderate amount (medium),Pizza
94,514199,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4.0,Teenage Mutant Ninja Turtles,tea,Friends,none,Pizza
95,389697,4,6.0,"Week day dinner,Weekend dinner,At a party,Late night snack",10.0,The King of Comedy,coke,"Friends,Teachers",A little (mild),Pizza
96,714430,3,10.0,"Week day lunch,Weekend lunch",10.0,Iron Man,orange juice,Friends,A little (mild),Pizza
97,612567,4,6.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party",20.0,Star Wars: Episode IV - A New Hope,cola,"Siblings,Friends",A moderate amount (medium),Pizza
98,744468,3,3.0,"Week day lunch,At a party",3.0,Your Friendly Neighborhood Spider-Man,coke,Friends,none,Pizza
99,502722,3,6.0,"Weekend lunch,At a party",3.0,Rise of the Teenage Mutant Ninja Turtles: The Movie,cola,"Siblings,Friends",I will have some of this food item with my hot sauce,Pizza
100,519681,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,The Dark Knight,diet coke,Friends,none,Pizza
101,631125,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,Home Alone 2: Lost in New York,coke,"Parents,Siblings",none,Pizza
102,606119,2,6.5,"Week day lunch,Weekend lunch,At a party,Late night snack",5.0,Pulp Fiction,coke,Friends,none,Pizza
103,627252,3,8.0,"Week day dinner,Weekend dinner,At a party",6.0,Teenage Mutant Ninja Turtles,water,"Siblings,Friends",none,Pizza
104,616568,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20.0,Fast & Furious,soda,"Parents,Siblings,Friends",A little (mild),Pizza
105,603838,2,5.0,"Weekend lunch,Weekend dinner",10.0,Teenage Mutant Ninja Turtles,soda,Friends,A moderate amount (medium),Pizza
106,719735,4,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Spider-Man 2,coke,Friends,A little (mild),Pizza
107,608062,2,10.0,"Weekend dinner,At a party",2.5,Your Friendly Neighborhood Spider-Man,cola,"Friends,Teachers",none,Pizza
108,608704,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,Home Alone,coke,"Parents,Siblings,Friends,Teachers",none,Pizza
109,520383,2,6.5,"Week day lunch,Weekend dinner,At a party",4.833333333333333,none,coke,"Friends,Teachers",A little (mild),Pizza
110,603793,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,Home Alone,soda,"Friends,Strangers",A moderate amount (medium),Pizza
111,603933,3,4.5,At a party,3.0,The Truman Show,sprite,Friends,none,Pizza
112,605519,3,6.0,"Week day dinner,Weekend dinner,At a party,Late night snack",5.0,I Think We're Alone Now,none,"Friends,Teachers",A moderate amount (medium),Pizza
113,524803,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.5,Breaking Bad,soda,"Friends,Teachers",none,Pizza
114,629712,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",17.0,Interstellar,cola,Friends,A little (mild),Pizza
115,627505,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,Rush Hour,pepsi,"Parents,Siblings",none,Pizza
116,526131,3,1.0,"Week day lunch,Weekend lunch,At a party,Late night snack",5.5,holes,pepsi,"Friends,Teachers",none,Pizza
117,607065,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Scooby-Doo,coke,"Siblings,Friends",A little (mild),Pizza
118,500077,2,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Back to the Future Part 2: Behind the Scenes,diet coke,Teachers,none,Pizza
119,633350,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,Ratatouille,coke,"Friends,Teachers,Strangers",A little (mild),Pizza
120,601945,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",22.0,The Princess Diaries,diet coke,"Parents,Friends,Teachers",A little (mild),Pizza
121,629878,3,3.0,"Weekend lunch,Weekend dinner,At a party",3.5,WALL·E,water,Friends,A little (mild),Pizza
122,712766,4,7.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,Home Alone,soft drink,"Siblings,Friends,Teachers",none,Pizza
123,603664,2,8.0,"Week day lunch,At a party",16.0,Ratatouille,coke,Strangers,none,Pizza
124,840827,3,6.0,Week day dinner,25.0,Avengers: Doomsday,coke,Friends,none,Pizza
125,604897,3,15.0,"Weekend lunch,At a party",25.0,Teenage Mutant Ninja Turtles,soda,"Friends,Teachers,Strangers",none,Pizza
126,525422,2,3.0,"Week day lunch,Weekend lunch,At a party,Late night snack",3.5,Spider-Man,soda,Friends,none,Pizza
127,602560,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",25.0,hangover,coke,Friends,A moderate amount (medium),Pizza
128,738379,3,8.5,"Weekend lunch,At a party",20.0,Teenage Mutant Ninja Turtles,iced tea,"Parents,Siblings,Friends",A little (mild),Pizza
129,622023,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,Teenage Mutant Ninja Turtles,coke,Friends,none,Pizza
130,604770,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Spider-Man,coke,Friends,A little (mild),Pizza
131,608318,2,5.5,"Week day dinner,Weekend dinner,At a party,Late night snack",5.0,Ratatouille,wine,Friends,none,Pizza
132,626757,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12.0,Spider-Man,pop,"Friends,Strangers",A lot (hot),Pizza
133,745297,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",7.0,Teenage Mutant Ninja Turtles,coke,"Parents,Friends,Teachers",none,Pizza
134,627599,4,6.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,Deadpool & Wolverine,diet coke,"Parents,Siblings,Friends,Teachers",none,Pizza
135,520037,2,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Home Alone,coke,"Friends,Teachers,Strangers",none,Pizza
136,632189,2,4.0,"Week day lunch,Weekend lunch,At a party,Late night snack",3.0,Your Friendly Neighborhood Spider-Man,cola,Friends,none,Pizza
137,627636,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.5,Spy Kids 3: Game Over,pepsi,Friends,none,Pizza
138,295428,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,Squid Game,soft drink,"Siblings,Friends,Teachers,Strangers",none,Pizza
139,228777,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.5,The Running Man,cola,Teachers,none,Pizza
140,609278,3,6.0,"Week day lunch,Week day dinner,At a party,Late night snack",5.0,Ratatouille,soda,"Parents,Siblings,Friends,Teachers",none,Pizza
141,614089,2,4.0,"Week day dinner,Weekend dinner,At a party,Late night snack",20.0,The Godfather,coke,Siblings,none,Pizza
142,607517,4,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",14.0,Recep Ivedik 2,coke,"Siblings,Friends",A little (mild),Pizza
143,714607,3,6.0,"Week day lunch,Weekend dinner,At a party,Late night snack",5.0,Venom: The Last Dance,coke,"Siblings,Friends",none,Pizza
144,716650,4,7.5,"Week day dinner,At a party,Late night snack",6.583333333333333,home alone,coca-cola,"Friends,Teachers,Strangers",A moderate amount (medium),Pizza
145,497695,2,4.0,"Weekend dinner,At a party,Late night snack",5.0,Moneyball,soda,Friends,A little (mild),Pizza
146,496858,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8.75,home alone,kombucha,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
147,608688,2,3.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.5,Teenage Mutant Ninja Turtles,soda,"Parents,Siblings,Friends,Teachers",none,Pizza
148,604386,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20.0,Ratatouille,soft drink,"Parents,Friends",none,Pizza
149,628559,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,The Avengers: Wish You Were Here? - The Top Ten London Locations,coke,Friends,none,Pizza
150,715152,3,7.0,"Weekend lunch,Weekend dinner,At a party,Late night snack",7.0,hangover,pepsi,Friends,none,Pizza
151,604110,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,Home Alone,coca-cola,"Parents,Friends",none,Pizza
152,629010,4,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,Coraline,tea,"Parents,Friends,Teachers,Strangers",A little (mild),Pizza
153,605254,2,5.0,"Week day dinner,At a party,Late night snack",4.0,Coraline,diet coke,Friends,A moderate amount (medium),Pizza
154,628990,3,5.0,"Week day lunch,Week day dinner,At a party",6.0,Life of Pi,soda,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
155,625295,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4.0,Home Alone,pop,Friends,none,Pizza
156,603415,3,6.0,"Week day lunch,Weekend lunch,At a party,Late night snack",4.5,Home Alone,soda,Friends,A little (mild),Pizza
157,635533,2,6.0,"Week day lunch,Late night snack",15.0,James Bond 007 at the Movies,coke,Friends,A little (mild),Pizza
158,630389,1,3.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,Sam Raimi's Spider-Man 4,chocolate milk,Friends,A lot (hot),Pizza
159,714901,4,7.0,"Week day lunch,Weekend lunch,At a party",5.0,Cloudy with a Chance of Meatballs,pepsi,Friends,A moderate amount (medium),Pizza
160,629792,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8.0,A Goofy Movie,pop,"Parents,Siblings,Friends",none,Pizza
161,629025,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,Teenage Mutant Ninja Turtles,soda,"Friends,Strangers",none,Pizza
162,524441,3,6.0,"Week day lunch,Weekend lunch,At a party",10.0,Teenage Mutant Ninja Turtles,ginger ale,"Siblings,Friends",none,Pizza
163,389109,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",18.0,Cloudy with a Chance of Meatballs,ginger ale,Friends,none,Pizza
164,631216,2,5.0,"Week day lunch,At a party",6.0,A Quiet Place,coke,Friends,A moderate amount (medium),Pizza
165,738875,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,Home Alone,milk,"Parents,Siblings,Friends,Teachers,Strangers",A little (mild),Pizza
166,634669,1,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",2.29,Carry-On,sprite,"Parents,Siblings,Friends,Teachers",none,Pizza
167,409940,3,6.0,"Week day dinner,At a party",8.0,Spider-Man,diet coke,"Parents,Friends",A moderate amount (medium),Pizza
168,399605,2,5.0,"Week day lunch,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Teenage Mutant Ninja Turtles,coke,"Parents,Friends",none,Pizza
169,721831,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,Home Alone,coke,"Parents,Siblings,Friends",none,Pizza
170,835223,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4.0,Set It Up,coke,"Friends,Strangers",A moderate amount (medium),Pizza
171,712938,3,5.0,"Week day dinner,Weekend dinner",15.0,Green Book,coke,Friends,none,Pizza
172,395712,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",6.0,Teenage Mutant Ninja Turtles,7up,"Friends,Teachers,Strangers",A moderate amount (medium),Pizza
173,603388,2,7.0,"Week day lunch,At a party,Late night snack",12.0,The Garfield Movie,coke,Friends,A little (mild),Pizza
174,617774,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,At a party",22.99,Cars,iced tea,"Parents,Teachers",none,Pizza
175,289440,3,5.0,"Week day lunch,At a party,Late night snack",4.0,Teenage Mutant Ninja Turtles,coke,"Friends,Strangers",A moderate amount (medium),Pizza
