,id,food_complexity,num_ingredients,serving_setting,expected_cost,related_movie,paired_drink,associated_people,hot_sauce_level,Label
36,502799,2,8.0,"Weekend dinner,At a party",10.0,Back to the Future,Ice tea,"Parents,Siblings,Friends",,Pizza
37,605278,2,4.0,"Weekend dinner,At a party,Late night snack",4.0,The Godfather,Coke,"Friends,Teachers,Strangers",A little (mild),Pizza
38,388888,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Mystic Pizza,Coke,Friends,A little (mild),Pizza
39,519548,3,5.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,Spider-Man 2,Coke,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
40,405521,4,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,Futurama,coke,Friends,A moderate amount (medium),Pizza
41,607410,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",13.0,Iron Man,Orange Fanta,"Siblings,Teachers",,Pizza
42,715795,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",13.0,Life of Pi,Hot chocolate,"Parents,Friends,Teachers",,Pizza
43,625326,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",3.0,Avengers: Doomsday,Soda,"Siblings,Friends,Teachers",A little (mild),Pizza
44,627220,3,5.0,"Week day lunch,Weekend dinner,At a party,Late night snack",6.5,Despicable Me 4,Mountain Dew,Friends,A little (mild),Pizza
45,634964,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,Your Friendly Neighborhood Spider-Man,Beer,"Parents,Friends",,Pizza
46,722500,3,10.0,"Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,Home Alone,coke,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
47,602824,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,American Movie,Soda,"Parents,Siblings,Friends",,Pizza
48,618355,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,King Kong,coke,"Friends,Teachers,Strangers",,Pizza
49,611097,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,Home Alone,coke,"Siblings,Friends",A little (mild),Pizza
50,634328,2,5.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Teenage Mutant Ninja Turtles,Soda,"Parents,Siblings,Friends",,Pizza
51,607160,2,10.0,At a party,9.0,Cloudy with a Chance of Meatballs,diet coke,Teachers,A little (mild),Pizza
52,728522,3,6.0,"Week day dinner,Weekend dinner,At a party,Late night snack",12.0,Marvel vs. DC: At the Movies,Diet Pepsi,"Siblings,Friends,Teachers",A lot (hot),Pizza
53,718570,3,5.0,"Week day lunch,Week day dinner,At a party",15.0,Marvel vs. DC: At the Movies,coke,"Friends,Strangers",,Pizza
54,714598,4,5.0,"Week day dinner,At a party,Late night snack",4.5,The Garfield Movie,Coca-cola,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
55,601950,3,4.0,"Week day lunch,At a party,Late night snack",3.0,The Garfield Movie,Coke,Friends,,Pizza
56,612478,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",7.0,Grown Ups,Diet coke,"Parents,Siblings,Friends",A moderate amount (medium),Pizza
57,501416,4,7.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",11.0,"There's A Lot of Bones In This, I Really Don't Wanna Die",Carbonated soft drink,"Teachers,Strangers",A little (mild),Pizza
58,629710,3,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",15.0,Deadpool & Wolverine,coke,"Parents,Siblings,Friends",A little (mild),Pizza
59,502610,2,3.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",35.0,Cloudy with a Chance of Meatballs,Coca cola zero,"Parents,Siblings,Friends",,Pizza
60,603476,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,Whiplash,coke,"Parents,Siblings,Friends",,Pizza
61,600957,2,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,Home Alone,Water,Siblings,,Pizza
62,713423,5,15.0,"Week day dinner,Weekend dinner,At a party",15.0,Inside Out,Coke,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
63,722431,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,At a party",16.666666666666668,Teenage Mutant Ninja Turtles,orange juice,Friends,,Pizza
64,633234,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Avengers: Doomsday,Coke,"Siblings,Friends,Teachers",,Pizza
65,148179,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",7.0,Avengers: Doomsday,Cola,Friends,A little (mild),Pizza
66,715845,2,9.0,"Weekend dinner,At a party,Late night snack",20.0,Cloudy with a Chance of Meatballs,Coke,Friends,,Pizza
67,632153,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,Ratatouille,Sparkling water,Friends,,Pizza
68,606552,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",7.0,Superbad,Coca Cola,"Parents,Siblings,Friends",A little (mild),Pizza
69,738409,3,4.0,At a party,3.0,Stranger Things,pepsi,"Teachers,Strangers",,Pizza
70,612096,4,6.0,"Weekend dinner,At a party",4.99,Ratatouille,Sprite,"Parents,Friends,Teachers",A lot (hot),Pizza
71,743537,3,5.0,"Week day lunch,Week day dinner,At a party,Late night snack",15.0,Pizza,Coke,"Friends,Strangers",,Pizza
72,632896,3,10.0,"Weekend lunch,At a party,Late night snack",4.0,Home Alone,Coke,"Siblings,Friends,Strangers",A little (mild),Pizza
73,605207,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",12.0,Teenage Mutant Ninja Turtles,Coke,Friends,,Pizza
74,617542,4,3.3333333333333335,"Week day dinner,Weekend dinner,At a party,Late night snack",13.5,Teenage Mutant Ninja Turtles,Coke,Friends,A little (mild),Pizza
75,719554,3,3.0,"Week day lunch,Late night snack",5.0,Teenage Mutant Ninja Turtles,Juice,"Friends,Strangers",,Pizza
76,627427,4,4.0,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",5.0,Air Bud,Soda,"Friends,Strangers",A little (mild),Pizza
77,411315,4,7.0,"Week day lunch,At a party,Late night snack",6.0,Deadpool & Wolverine,coke,"Friends,Strangers",A little (mild),Pizza
78,631507,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,A Quiet Place: Day One,Soda,Friends,I will have some of this food item with my hot sauce,Pizza
79,627798,3,8.0,"Week day lunch,Weekend lunch,At a party,Late night snack",6.0,Finding Nemo,Coca Cola,Friends,A little (mild),Pizza
80,712093,4,10.0,"Week day lunch,Weekend lunch,At a party,Late night snack",15.0,Avengers: Endgame,Coca Cola,"Teachers,Strangers",A little (mild),Pizza
81,627488,1,10.0,"Week day lunch,Week day dinner,Weekend dinner,At a party,Late night snack",5.0,Ratatouille,Soda,"Friends,Teachers",A little (mild),Pizza
82,626493,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,My Cousin Vinny,San Pellegrino Sparkling Water,"Parents,Siblings,Friends,Teachers",,Pizza
83,601363,2,7.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,The Garfield Movie,ginger ale,"Siblings,Friends,Teachers",A moderate amount (medium),Pizza
84,712898,4,8.0,"Weekend dinner,At a party,Late night snack",5.0,The Garfield Movie,Diet Coke,Parents,,Pizza
85,603398,3,10.0,"Weekend dinner,At a party,Late night snack",22.5,Eat Pray Love,Coca-Cola,Friends,A moderate amount (medium),Pizza
86,631012,4,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Ratatouille,Coke,"Parents,Siblings,Friends",,Pizza
87,601848,3,6.0,"Week day lunch,Weekend dinner,At a party,Late night snack",7.0,Ratatouille,coke,"Parents,Siblings,Friends,Teachers",,Pizza
88,612131,2,5.0,"Week day dinner,Weekend dinner,At a party,Late night snack",2.0,Home Alone,Coca-cola,"Parents,Siblings,Teachers",A little (mild),Pizza
89,408630,3,5.0,"Week day lunch,Weekend lunch,At a party,Late night snack",5.0,Five Nights at Freddy's,soda,"Siblings,Friends,Teachers",A little (mild),Pizza
90,632091,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,A Minecraft Movie,soda,"Parents,Siblings,Friends,Teachers",A moderate amount (medium),Pizza
91,601122,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,Home Alone,Coke,"Parents,Siblings,Friends,Strangers",,Pizza
92,602871,2,5.0,"Week day lunch,At a party",10.0,Spider-Man 2,Coke,Friends,A little (mild),Pizza
93,520828,3,9.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Teenage Mutant Ninja Turtles,Diet Coke,"Siblings,Friends",A moderate amount (medium),Pizza
94,514199,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4.0,Teenage Mutant Ninja Turtles,Nestea,Friends,,Pizza
95,389697,4,6.0,"Week day dinner,Weekend dinner,At a party,Late night snack",10.0,The King of Comedy,Coke,"Friends,Teachers",A little (mild),Pizza
96,714430,3,10.0,"Week day lunch,Weekend lunch",10.0,Iron Man,orange juice,Friends,A little (mild),Pizza
97,612567,4,6.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party",20.0,Star Wars: Episode IV - A New Hope,Coca cola,"Siblings,Friends",A moderate amount (medium),Pizza
98,744468,3,3.0,"Week day lunch,At a party",3.0,Your Friendly Neighborhood Spider-Man,Coke,Friends,,Pizza
99,502722,3,6.0,"Weekend lunch,At a party",3.0,Rise of the Teenage Mutant Ninja Turtles: The Movie,cola,"Siblings,Friends",I will have some of this food item with my hot sauce,Pizza
100,519681,3,10.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,The Dark Knight,Diet Coke,Friends,,Pizza
101,631125,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,Home Alone 2: Lost in New York,Coke,"Parents,Siblings",,Pizza
102,606119,2,6.5,"Week day lunch,Weekend lunch,At a party,Late night snack",5.0,Pulp Fiction,Coke,Friends,,Pizza
103,627252,3,8.0,"Week day dinner,Weekend dinner,At a party",6.0,Teenage Mutant Ninja Turtles,Water,"Siblings,Friends",,Pizza
104,616568,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20.0,Fast & Furious,soda,"Parents,Siblings,Friends",A little (mild),Pizza
105,603838,2,5.0,"Weekend lunch,Weekend dinner",10.0,Teenage Mutant Ninja Turtles,Soda,Friends,A moderate amount (medium),Pizza
106,719735,4,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Spider-Man 2,Coke,Friends,A little (mild),Pizza
107,608062,2,10.0,"Weekend dinner,At a party",2.5,Your Friendly Neighborhood Spider-Man,Coca cola ,"Friends,Teachers",,Pizza
108,608704,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,Home Alone,Coke,"Parents,Siblings,Friends,Teachers",,Pizza
109,520383,2,6.5,"Week day lunch,Weekend dinner,At a party",4.833333333333333,,Coke,"Friends,Teachers",A little (mild),Pizza
110,603793,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",15.0,Home Alone,soda,"Friends,Strangers",A moderate amount (medium),Pizza
111,603933,3,4.5,At a party,3.0,The Truman Show,sprite,Friends,,Pizza
112,605519,3,6.0,"Week day dinner,Weekend dinner,At a party,Late night snack",5.0,I Think We're Alone Now,Dr. Pepper,"Friends,Teachers",A moderate amount (medium),Pizza
113,524803,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.5,Breaking Bad,Soda,"Friends,Teachers",,Pizza
114,629712,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",17.0,Interstellar,Coca Cola,Friends,A little (mild),Pizza
115,627505,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,Rush Hour,Pepsi,"Parents,Siblings",,Pizza
116,526131,3,1.0,"Week day lunch,Weekend lunch,At a party,Late night snack",5.5,holes,pepsi,"Friends,Teachers",,Pizza
117,607065,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Scooby-Doo,Coke,"Siblings,Friends",A little (mild),Pizza
118,500077,2,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Back to the Future Part 2: Behind the Scenes,Diet coke,Teachers,,Pizza
119,633350,2,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,Ratatouille,Coke,"Friends,Teachers,Strangers",A little (mild),Pizza
120,601945,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",22.0,The Princess Diaries,Diet Coke,"Parents,Friends,Teachers",A little (mild),Pizza
121,629878,3,3.0,"Weekend lunch,Weekend dinner,At a party",3.5,WALL·E,Water,Friends,A little (mild),Pizza
122,712766,4,7.5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,Home Alone,Soft drink,"Siblings,Friends,Teachers",,Pizza
123,603664,2,8.0,"Week day lunch,At a party",16.0,Ratatouille,coke,Strangers,,Pizza
124,840827,3,6.0,Week day dinner,25.0,Avengers: Doomsday,Coke,Friends,,Pizza
125,604897,3,15.0,"Weekend lunch,At a party",25.0,Teenage Mutant Ninja Turtles,soda,"Friends,Teachers,Strangers",,Pizza
126,525422,2,3.0,"Week day lunch,Weekend lunch,At a party,Late night snack",3.5,Spider-Man,Soda,Friends,,Pizza
127,602560,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",25.0,hangover,coke,Friends,A moderate amount (medium),Pizza
128,738379,3,8.5,"Weekend lunch,At a party",20.0,Teenage Mutant Ninja Turtles,"Coke, iced tea.","Parents,Siblings,Friends",A little (mild),Pizza
129,622023,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.0,Teenage Mutant Ninja Turtles,Coke Zero,Friends,,Pizza
130,604770,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Spider-Man,coke,Friends,A little (mild),Pizza
131,608318,2,5.5,"Week day dinner,Weekend dinner,At a party,Late night snack",5.0,Ratatouille,wine,Friends,,Pizza
132,626757,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12.0,Spider-Man,Pop,"Friends,Strangers",A lot (hot),Pizza
133,745297,4,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",7.0,Teenage Mutant Ninja Turtles,Coke,"Parents,Friends,Teachers",,Pizza
134,627599,4,6.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,Deadpool & Wolverine,Diet coke,"Parents,Siblings,Friends,Teachers",,Pizza
135,520037,2,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Home Alone,Coke,"Friends,Teachers,Strangers",,Pizza
136,632189,2,4.0,"Week day lunch,Weekend lunch,At a party,Late night snack",3.0,Your Friendly Neighborhood Spider-Man,Coca Cola,Friends,,Pizza
137,627636,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5.5,Spy Kids 3: Game Over,Pepsi,Friends,,Pizza
138,295428,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,Squid Game,soft drink,"Siblings,Friends,Teachers,Strangers",,Pizza
139,228777,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",3.5,The Running Man,Coca Cola ,Teachers,,Pizza
140,609278,3,6.0,"Week day lunch,Week day dinner,At a party,Late night snack",5.0,Ratatouille,Soda,"Parents,Siblings,Friends,Teachers",,Pizza
141,614089,2,4.0,"Week day dinner,Weekend dinner,At a party,Late night snack",20.0,The Godfather,Coke,Siblings,,Pizza
142,607517,4,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",14.0,Recep Ivedik 2,Coke,"Siblings,Friends",A little (mild),Pizza
143,714607,3,6.0,"Week day lunch,Weekend dinner,At a party,Late night snack",5.0,Venom: The Last Dance,Coke,"Siblings,Friends",,Pizza
144,716650,4,7.5,"Week day dinner,At a party,Late night snack",6.583333333333333,home alone,coca-cola,"Friends,Teachers,Strangers",A moderate amount (medium),Pizza
145,497695,2,4.0,"Weekend dinner,At a party,Late night snack",5.0,Moneyball,Soda,Friends,A little (mild),Pizza
146,496858,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8.75,home alone,kombucha,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
147,608688,2,3.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",2.5,Teenage Mutant Ninja Turtles,Soda,"Parents,Siblings,Friends,Teachers",,Pizza
148,604386,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",20.0,Ratatouille,soft drink,"Parents,Friends",,Pizza
149,628559,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,The Avengers: Wish You Were Here? - The Top Ten London Locations,Coke,Friends,,Pizza
150,715152,3,7.0,"Weekend lunch,Weekend dinner,At a party,Late night snack",7.0,hangover,pepsi,Friends,,Pizza
151,604110,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10.0,Home Alone,Coca-Cola,"Parents,Friends",,Pizza
152,629010,4,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,Coraline,Nestea,"Parents,Friends,Teachers,Strangers",A little (mild),Pizza
153,605254,2,5.0,"Week day dinner,At a party,Late night snack",4.0,Coraline,Diet Coke,Friends,A moderate amount (medium),Pizza
154,628990,3,5.0,"Week day lunch,Week day dinner,At a party",6.0,Life of Pi,Soda,"Parents,Siblings,Friends,Teachers",A little (mild),Pizza
155,625295,3,6.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4.0,Home Alone,Pop,Friends,,Pizza
156,603415,3,6.0,"Week day lunch,Weekend lunch,At a party,Late night snack",4.5,Home Alone,Soda,Friends,A little (mild),Pizza
157,635533,2,6.0,"Week day lunch,Late night snack",15.0,James Bond 007 at the Movies,Coke,Friends,A little (mild),Pizza
158,630389,1,3.0,"Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",20.0,Sam Raimi's Spider-Man 4,Chocolate Milk,Friends,A lot (hot),Pizza
159,714901,4,7.0,"Week day lunch,Weekend lunch,At a party",5.0,Cloudy with a Chance of Meatballs,pepsi,Friends,A moderate amount (medium),Pizza
160,629792,3,7.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",8.0,A Goofy Movie,pop,"Parents,Siblings,Friends",,Pizza
161,629025,3,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",5.0,Teenage Mutant Ninja Turtles,Soda,"Friends,Strangers",,Pizza
162,524441,3,6.0,"Week day lunch,Weekend lunch,At a party",10.0,Teenage Mutant Ninja Turtles,Ginger ale,"Siblings,Friends",,Pizza
163,389109,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",18.0,Cloudy with a Chance of Meatballs,Canada Dry Ginger Ale,Friends,,Pizza
164,631216,2,5.0,"Week day lunch,At a party",6.0,A Quiet Place,coke,Friends,A moderate amount (medium),Pizza
165,738875,2,3.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",4.0,Home Alone,Milk,"Parents,Siblings,Friends,Teachers,Strangers",A little (mild),Pizza
166,634669,1,4.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",2.29,Carry-On,Sprite,"Parents,Siblings,Friends,Teachers",,Pizza
167,409940,3,6.0,"Week day dinner,At a party",8.0,Spider-Man,diet coke,"Parents,Friends",A moderate amount (medium),Pizza
168,399605,2,5.0,"Week day lunch,Weekend lunch,Weekend dinner,At a party,Late night snack",5.0,Teenage Mutant Ninja Turtles,coke,"Parents,Friends",,Pizza
169,721831,4,8.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",6.0,Home Alone,Coke,"Parents,Siblings,Friends",,Pizza
170,835223,2,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",4.0,Set It Up,coke,"Friends,Strangers",A moderate amount (medium),Pizza
171,712938,3,5.0,"Week day dinner,Weekend dinner",15.0,Green Book,coke,Friends,,Pizza
172,395712,3,5.0,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",6.0,Teenage Mutant Ninja Turtles,"Pop, Coca-Cola, 7up, crush","Friends,Teachers,Strangers",A moderate amount (medium),Pizza
173,603388,2,7.0,"Week day lunch,At a party,Late night snack",12.0,The Garfield Movie,Coke,Friends,A little (mild),Pizza
174,617774,3,3.0,"Week day lunch,Week day dinner,Weekend lunch,At a party",22.99,Cars,Iced tea,"Parents,Teachers",,Pizza
